ukr opinion of russians,,,,,,
,,,,,,
date,v_good,good,bad,v_bad,dont_know,source
01/09/2018,10,38,19,13,19,ukr opinion of ru
01/02/2018,6,39,24,14,18,ukr opinion of ru
01/12/2017,6,36,24,16,19,ukr opinion of ru
01/09/2017,7,30,24,22,17,ukr opinion of ru
01/05/2017,5,38,22,15,19,ukr opinion of ru
01/02/2017,8,32,25,21,15,ukr opinion of ru
01/09/2016,7,33,26,20,15,ukr opinion of ru
01/05/2016,9,33,29,14,15,ukr opinion of ru
01/02/2016,9,27,28,19,16,ukr opinion of ru
01/09/2015,9,25,22,31,13,ukr opinion of ru
01/05/2015,5,25,25,32,14,ukr opinion of ru
01/02/2015,7,27,24,27,15,ukr opinion of ru
01/12/2014,7,29,26,22,16,ukr opinion of ru
01/09/2014,14,34,23,19,11,ukr opinion of ru
01/04/2014,17,35,19,19,10,ukr opinion of ru
01/02/2014,27,51,11,2,9,ukr opinion of ru
01/09/2013,34,54,7,2,4,ukr opinion of ru
01/02/2013,32,53,6,1,6,ukr opinion of ru
01/09/2012,34,49,8,3,6,ukr opinion of ru
